Promotion,Seasonal,Sales_Volume,price,terms,section,season,material,origin
Yes,Yes,1243,78.99,jackets,MAN,Winter,Polyester,Brazil
Yes,No,1429,14.99,jackets,MAN,Autumn,Cotton,Turkey
Yes,Yes,1168,71.95,jackets,WOMAN,Autumn,Polyester,Morocco
Yes,No,1348,30.99,jackets,MAN,Spring,Polyester,China
Yes,Yes,1602,22.99,jackets,WOMAN,Winter,Wool Blend,China
Yes,Yes,1282,25.95,jackets,WOMAN,Autumn,Cotton,Turkey
No,No,688,87.99,jackets,MAN,Winter,Acrylic,China
Yes,Yes,1711,24.0,jackets,WOMAN,Summer,Cotton,Portugal
No,Yes,857,32.95,jackets,WOMAN,Winter,Wool,India
No,No,769,39.95,jackets,MAN,Autumn,Wool Blend,China
Yes,Yes,1696,22.99,jackets,WOMAN,Winter,Wool,China
Yes,No,1538,15.95,jackets,WOMAN,Autumn,Polyester,Portugal
No,Yes,822,49.99,jackets,MAN,Autumn,Cotton,Portugal
No,No,840,69.99,jackets,WOMAN,Autumn,Viscose,Bangladesh
Yes,Yes,1569,28.99,jackets,WOMAN,Spring,Polyester,China
No,Yes,952,29.99,jackets,WOMAN,Spring,Wool Blend,India
No,Yes,915,29.99,jackets,WOMAN,Autumn,Cotton,Portugal
Yes,Yes,1522,25.99,jackets,WOMAN,Autumn,Cotton,India
Yes,Yes,1305,77.99,jackets,MAN,Winter,Polyester,Morocco
No,No,840,49.99,jackets,WOMAN,Spring,Linen,Bangladesh
No,No,997,25.95,jackets,WOMAN,Spring,Denim,China
No,Yes,857,79.99,jackets,WOMAN,Autumn,Denim,Bangladesh
No,No,982,39.99,jackets,WOMAN,Spring,Wool Blend,Vietnam
No,Yes,970,19.95,jackets,MAN,Autumn,Wool Blend,Spain
Yes,No,1453,39.99,jackets,WOMAN,Autumn,Polyester,Brazil
No,No,870,22.99,jackets,MAN,Autumn,Polyester,India
Yes,No,1533,21.99,jackets,WOMAN,Autumn,Cotton,Cambodia
No,Yes,807,49.99,jackets,WOMAN,Spring,Cotton,India
Yes,Yes,1604,24.95,jackets,WOMAN,Autumn,Wool Blend,Bangladesh
Yes,Yes,1255,21.99,jackets,MAN,Autumn,Viscose,China
Yes,Yes,1268,22.99,jackets,MAN,Autumn,Cotton,China
No,Yes,1047,24.0,jackets,WOMAN,Winter,Viscose,Bangladesh
No,Yes,744,49.99,jackets,MAN,Autumn,Polyester,Spain
Yes,Yes,1744,32.99,jackets,WOMAN,Winter,Wool,Turkey
Yes,Yes,1447,31.99,jackets,WOMAN,Autumn,Viscose,India
No,No,911,39.99,jackets,WOMAN,Spring,Polyester,Vietnam
Yes,No,1575,16.99,jackets,WOMAN,Autumn,Viscose,Cambodia
Yes,No,1440,16.99,jackets,WOMAN,Spring,Viscose,Spain
No,Yes,942,39.99,jackets,WOMAN,Spring,Polyester,Vietnam
No,No,972,21.99,jackets,WOMAN,Winter,Viscose,Bangladesh
No,Yes,860,45.99,jackets,WOMAN,Spring,Cotton,Bangladesh
No,No,709,45.99,jackets,MAN,Spring,Cotton,China
No,Yes,663,99.99,jackets,WOMAN,Autumn,Wool,Spain
No,No,876,22.99,jackets,MAN,Spring,Wool Blend,Argentina
Yes,Yes,1284,19.99,jackets,WOMAN,Spring,Polyester,Turkey
No,No,871,22.99,jackets,MAN,Autumn,Polyester,Argentina
Yes,Yes,1330,43.95,jackets,WOMAN,Autumn,Cotton,Morocco
No,No,880,74.99,jackets,WOMAN,Winter,Polyester,India
No,No,815,49.99,jackets,WOMAN,Autumn,Viscose,Argentina
No,Yes,851,39.95,jackets,MAN,Autumn,Wool,India
No,No,749,59.99,jackets,MAN,Autumn,Polyester,Morocco
Yes,No,1211,86.99,jackets,WOMAN,Spring,Cotton,Bangladesh
No,Yes,899,22.95,jackets,WOMAN,Spring,Cotton,Cambodia
No,No,908,17.95,jackets,MAN,Winter,Wool Blend,China
No,No,895,29.0,jackets,WOMAN,Autumn,Acrylic,Bangladesh
No,Yes,785,29.95,jackets,WOMAN,Autumn,Polyester,Vietnam
No,No,735,19.99,jackets,MAN,Autumn,Viscose,Turkey
No,No,980,22.0,jackets,WOMAN,Autumn,Cotton,India
No,Yes,964,35.95,jackets,WOMAN,Autumn,Viscose,Bangladesh
No,Yes,826,29.99,jackets,MAN,Spring,Denim,Spain
No,Yes,845,29.95,jackets,WOMAN,Autumn,Cotton,Portugal
No,No,923,25.99,jackets,WOMAN,Spring,Denim,Turkey
Yes,No,1297,92.99,jackets,MAN,Winter,Wool Blend,Vietnam
No,No,919,49.95,jackets,WOMAN,Spring,Cotton,China
No,No,896,19.99,jackets,WOMAN,Autumn,Cotton,Cambodia
